Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Medicaid Enrollee Count by County,Count of Recipients by Rate Code Group and County,Units Total,Paid Claim Total
2014,2,CENTRAL NY,CAYUGA,CHILD,PSYCH INPATIENT 31,6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,PSYCH INPATIENT SPC,6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,RESIDENTIAL TREATMENT FACILITY,6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",6747,23,103,58901
2014,2,CENTRAL NY,CAYUGA,SENIOR,OMH LICENSED CLINIC TREATMENT,1587,50,376,36262
2014,2,CENTRAL NY,CAYUGA,SENIOR,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",1587,0,0,0
2014,2,CENTRAL NY,CAYUGA,SENIOR,MH EMERGENCY,1587,21,31,802
2014,2,CENTRAL NY,CAYUGA,SENIOR,OMH PREPAID MENTAL HEALTH PLAN,1587,0,0,0
2014,2,CENTRAL NY,CAYUGA,SENIOR,PSYCH INPATIENT 28,1587,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,ASSERTIVE COMMUNITY TREATMENT,6394,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,OMH LICENSED CLINIC TREATMENT,6394,835,7828,905734
2014,2,CENTRAL NY,CHENANGO,ADULT,COMMUNITY RESIDENCE,6394,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",6394,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,MH EMERGENCY,6394,183,282,104953
2014,2,CENTRAL NY,CHENANGO,ADULT,OMH PREPAID MENTAL HEALTH PLAN,6394,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,PARTIAL HOSPITALIZATION,6394,0,0,0
2014,2,CENTRAL NY,CHENANGO,ADULT,PSYCH INPATIENT 28,6394,68,696,308092
2014,2,CENTRAL NY,CHENANGO,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",6394,49,161,65423
2014,2,CENTRAL NY,CHENANGO,CHILD,OMH LICENSED CLINIC TREATMENT,5116,434,2715,386225
2014,2,CENTRAL NY,CHENANGO,CHILD,COMMUNITY RESIDENCE,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,MH EMERGENCY,5116,76,103,49690
2014,2,CENTRAL NY,CHENANGO,CHILD,OMH CHILDREN'S DAY TREATMENT,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,PSYCH INPATIENT 28,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,PSYCH INPATIENT 31,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,PSYCH INPATIENT SPC,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,RESIDENTIAL TREATMENT FACILITY,5116,0,0,0
2014,2,CENTRAL NY,CHENANGO,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",5116,38,205,85261
2014,2,CENTRAL NY,CHENANGO,SENIOR,OMH LICENSED CLINIC TREATMENT,1417,28,289,23814
2014,2,CENTRAL NY,CHENANGO,SENIOR,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",1417,0,0,0
2014,2,CENTRAL NY,CHENANGO,SENIOR,MH EMERGENCY,1417,0,0,0
2014,2,CENTRAL NY,CHENANGO,SENIOR,OMH PREPAID MENTAL HEALTH PLAN,1417,0,0,0
2014,2,CENTRAL NY,CHENANGO,SENIOR,PSYCH INPATIENT 28,1417,0,0,0
2014,2,CENTRAL NY,CHENANGO,SENIOR,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",1417,0,0,0
2014,2,CENTRAL NY,CLINTON,ADULT,OMH LICENSED CLINIC TREATMENT,10403,1464,11683,1321068
2014,2,CENTRAL NY,CLINTON,ADULT,COMMUNITY RESIDENCE,10403,52,378,821988
2014,2,CENTRAL NY,CLINTON,ADULT,MH EMERGENCY,10403,368,568,81781
2014,2,CENTRAL NY,CLINTON,ADULT,PARTIAL HOSPITALIZATION,10403,0,0,0
2014,2,CENTRAL NY,CLINTON,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,10403,263,1629,1188124
2014,2,CENTRAL NY,CLINTON,ADULT,PSYCH INPATIENT 28,10403,166,1762,898423
2014,2,CENTRAL NY,CLINTON,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",10403,34,212,215392
2014,2,CENTRAL NY,CLINTON,CHILD,OMH LICENSED CLINIC TREATMENT,6871,835,8011,1007085
2014,2,CENTRAL NY,CLINTON,CHILD,COMMUNITY RESIDENCE,6871,0,0,0
2014,2,CENTRAL NY,CLINTON,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),6871,25,147,631727
2014,2,CENTRAL NY,CLINTON,CHILD,MH EMERGENCY,6871,188,268,45347
2014,2,CENTRAL NY,CLINTON,CHILD,OMH CHILDREN'S DAY TREATMENT,6871,0,0,0
2014,2,CENTRAL NY,CLINTON,CHILD,PSYCH INPATIENT 28,6871,74,730,470355
2014,2,CENTRAL NY,CLINTON,CHILD,PSYCH INPATIENT 31,6871,21,346,282125
2014,2,CENTRAL NY,CLINTON,CHILD,PSYCH INPATIENT SPC,6871,0,0,0
2014,2,CENTRAL NY,CLINTON,CHILD,RESIDENTIAL TREATMENT FACILITY,6871,0,0,0
2014,2,CENTRAL NY,CLINTON,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",6871,59,244,169604
2014,2,CENTRAL NY,CLINTON,SENIOR,OMH LICENSED CLINIC TREATMENT,1976,61,272,18370
2014,2,CENTRAL NY,CLINTON,SENIOR,COMMUNITY RESIDENCE,1976,0,0,0
2014,2,CENTRAL NY,CLINTON,SENIOR,MH EMERGENCY,1976,25,33,751
2014,2,CENTRAL NY,CLINTON,SENIOR,PERSONALIZED RECOVERY ORIENTED SERVICES,1976,0,0,0
2014,2,CENTRAL NY,CLINTON,SENIOR,PSYCH INPATIENT 28,1976,0,0,0
2014,2,CENTRAL NY,CORTLAND,ADULT,OMH LICENSED CLINIC TREATMENT,5846,968,12602,1531820
2014,2,CENTRAL NY,CORTLAND,ADULT,COMMUNITY RESIDENCE,5846,23,135,336197
2014,2,CENTRAL NY,CORTLAND,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",5846,0,0,0
2014,2,CENTRAL NY,CORTLAND,ADULT,CONTINUING DAY TREATMENT,5846,23,2070,88238
2014,2,CENTRAL NY,CORTLAND,ADULT,MH EMERGENCY,5846,208,324,65592
2014,2,CENTRAL NY,CORTLAND,ADULT,OMH PREPAID MENTAL HEALTH PLAN,5846,0,0,0
2014,2,CENTRAL NY,CORTLAND,ADULT,PARTIAL HOSPITALIZATION,5846,0,0,0
2014,2,CENTRAL NY,CORTLAND,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,5846,0,0,0
2014,2,CENTRAL NY,CORTLAND,ADULT,PSYCH INPATIENT 28,5846,100,974,525042
2014,2,CENTRAL NY,CORTLAND,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",5846,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,OMH LICENSED CLINIC TREATMENT,4662,551,7593,835009
2014,2,CENTRAL NY,CORTLAND,CHILD,COMMUNITY RESIDENCE,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,MH EMERGENCY,4662,91,132,42519
2014,2,CENTRAL NY,CORTLAND,CHILD,OMH CHILDREN'S DAY TREATMENT,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,PSYCH INPATIENT 28,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,PSYCH INPATIENT 31,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,PSYCH INPATIENT SPC,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,RESIDENTIAL TREATMENT FACILITY,4662,0,0,0
2014,2,CENTRAL NY,CORTLAND,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",4662,52,259,149401
2014,2,CENTRAL NY,CORTLAND,SENIOR,OMH LICENSED CLINIC TREATMENT,1086,25,263,24547
2014,2,CENTRAL NY,CORTLAND,SENIOR,CONTINUING DAY TREATMENT,1086,0,0,0
2014,2,CENTRAL NY,CORTLAND,SENIOR,MH EMERGENCY,1086,0,0,0
2014,2,CENTRAL NY,CORTLAND,SENIOR,PSYCH INPATIENT 28,1086,0,0,0
2014,2,CENTRAL NY,DELAWARE,ADULT,OMH LICENSED CLINIC TREATMENT,5606,854,5577,745746
2014,2,CENTRAL NY,DELAWARE,ADULT,COMMUNITY RESIDENCE,5606,25,189,545575
2014,2,CENTRAL NY,DELAWARE,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",5606,0,0,0
2014,2,CENTRAL NY,DELAWARE,ADULT,MH EMERGENCY,5606,155,238,58082
2014,2,CENTRAL NY,DELAWARE,ADULT,OMH PREPAID MENTAL HEALTH PLAN,5606,0,0,0
2014,2,CENTRAL NY,DELAWARE,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,5606,0,0,0
2014,2,CENTRAL NY,DELAWARE,ADULT,PSYCH INPATIENT 28,5606,74,1003,483881
2014,2,CENTRAL NY,DELAWARE,ADULT,PSYCH INPATIENT 31,5606,0,0,0
2014,2,CENTRAL NY,DELAWARE,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",5606,36,169,73946
2014,2,CENTRAL NY,DELAWARE,CHILD,OMH LICENSED CLINIC TREATMENT,3870,472,2574,393973
2014,2,CENTRAL NY,DELAWARE,CHILD,COMMUNITY RESIDENCE,3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,MH EMERGENCY,3870,56,88,41564
2014,2,CENTRAL NY,DELAWARE,CHILD,PSYCH INPATIENT 28,3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,PSYCH INPATIENT 31,3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,PSYCH INPATIENT SPC,3870,0,0,0
2014,2,CENTRAL NY,DELAWARE,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",3870,29,170,84676
2014,2,CENTRAL NY,DELAWARE,SENIOR,OMH LICENSED CLINIC TREATMENT,1210,33,236,27022
2014,2,CENTRAL NY,DELAWARE,SENIOR,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",1210,0,0,0
2014,2,CENTRAL NY,DELAWARE,SENIOR,MH EMERGENCY,1210,0,0,0
2014,2,CENTRAL NY,DELAWARE,SENIOR,PSYCH INPATIENT 28,1210,0,0,0
2014,2,CENTRAL NY,DELAWARE,SENIOR,PSYCH INPATIENT SPC,1210,0,0,0
2014,2,CENTRAL NY,ESSEX,ADULT,OMH LICENSED CLINIC TREATMENT,4298,397,3102,448690
2014,2,CENTRAL NY,ESSEX,ADULT,COMMUNITY RESIDENCE,4298,0,0,0
2014,2,CENTRAL NY,ESSEX,ADULT,MH EMERGENCY,4298,179,285,43793
2014,2,CENTRAL NY,ESSEX,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,4298,0,0,0
2014,2,CENTRAL NY,ESSEX,ADULT,PSYCH INPATIENT 28,4298,67,640,333481
2014,2,CENTRAL NY,ESSEX,ADULT,PSYCH INPATIENT 31,4298,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,OMH LICENSED CLINIC TREATMENT,2757,245,2190,310060
2014,2,CENTRAL NY,ESSEX,CHILD,COMMUNITY RESIDENCE,2757,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),2757,24,150,421677
2014,2,CENTRAL NY,ESSEX,CHILD,MH EMERGENCY,2757,62,86,13169
2014,2,CENTRAL NY,ESSEX,CHILD,PSYCH INPATIENT 28,2757,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,PSYCH INPATIENT 31,2757,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,PSYCH INPATIENT SPC,2757,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,RESIDENTIAL TREATMENT FACILITY,2757,0,0,0
2014,2,CENTRAL NY,ESSEX,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",2757,37,207,120709
2014,2,CENTRAL NY,ESSEX,SENIOR,OMH LICENSED CLINIC TREATMENT,968,0,0,0
2014,2,CENTRAL NY,ESSEX,SENIOR,MH EMERGENCY,968,0,0,0
2014,2,CENTRAL NY,ESSEX,SENIOR,PSYCH INPATIENT 28,968,0,0,0
2014,2,CENTRAL NY,FRANKLIN,ADULT,OMH LICENSED CLINIC TREATMENT,6774,994,5207,523470
2014,2,CENTRAL NY,FRANKLIN,ADULT,COMMUNITY RESIDENCE,6774,36,234,592483
2014,2,CENTRAL NY,FRANKLIN,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",6774,0,0,0
2014,2,CENTRAL NY,FRANKLIN,ADULT,MH EMERGENCY,6774,226,333,49924
2014,2,CENTRAL NY,FRANKLIN,ADULT,OMH PREPAID MENTAL HEALTH PLAN,6774,0,0,0
2014,2,CENTRAL NY,FRANKLIN,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,6774,0,0,0
2014,2,CENTRAL NY,FRANKLIN,ADULT,PSYCH INPATIENT 28,6774,88,1072,567429
2014,2,CENTRAL NY,FRANKLIN,ADULT,PSYCH INPATIENT 31,6774,0,0,0
2014,2,CENTRAL NY,FRANKLIN,CHILD,OMH LICENSED CLINIC TREATMENT,4563,482,3569,393933
2014,2,CENTRAL NY,FRANKLIN,CHILD,COMMUNITY RESIDENCE,4563,0,0,0
2014,2,CENTRAL NY,FRANKLIN,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",4563,0,0,0
2014,2,CENTRAL NY,FRANKLIN,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),4563,24,156,652931
2014,2,CENTRAL NY,FRANKLIN,CHILD,MH EMERGENCY,4563,90,130,20316
2014,2,CENTRAL NY,FRANKLIN,CHILD,PSYCH INPATIENT 28,4563,23,194,127301
2014,2,CENTRAL NY,FRANKLIN,CHILD,PSYCH INPATIENT 31,4563,0,0,0
2014,2,CENTRAL NY,FRANKLIN,CHILD,PSYCH INPATIENT SPC,4563,0,0,0
2014,2,CENTRAL NY,FRANKLIN,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",4563,60,454,220158
2014,2,CENTRAL NY,FRANKLIN,SENIOR,OMH LICENSED CLINIC TREATMENT,1356,28,60,4859
2014,2,CENTRAL NY,FRANKLIN,SENIOR,COMMUNITY RESIDENCE,1356,0,0,0
2014,2,CENTRAL NY,FRANKLIN,SENIOR,CONTINUING DAY TREATMENT,1356,0,0,0
2014,2,CENTRAL NY,FRANKLIN,SENIOR,MH EMERGENCY,1356,0,0,0
2014,2,CENTRAL NY,FRANKLIN,SENIOR,OMH PREPAID MENTAL HEALTH PLAN,1356,0,0,0
2014,2,CENTRAL NY,FRANKLIN,SENIOR,PERSONALIZED RECOVERY ORIENTED SERVICES,1356,0,0,0
2014,2,CENTRAL NY,FRANKLIN,SENIOR,PSYCH INPATIENT 28,1356,0,0,0
2014,2,CENTRAL NY,FULTON,ADULT,OMH LICENSED CLINIC TREATMENT,8097,1429,17447,1493751
2014,2,CENTRAL NY,FULTON,ADULT,COMMUNITY RESIDENCE,8097,72,486,1228187
2014,2,CENTRAL NY,FULTON,ADULT,CONTINUING DAY TREATMENT,8097,29,2478,124241
2014,2,CENTRAL NY,FULTON,ADULT,MH EMERGENCY,8097,327,542,89683
2014,2,CENTRAL NY,FULTON,ADULT,OMH PREPAID MENTAL HEALTH PLAN,8097,0,0,0
2014,2,CENTRAL NY,FULTON,ADULT,PARTIAL HOSPITALIZATION,8097,0,0,0
2014,2,CENTRAL NY,FULTON,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,8097,95,546,484104
2014,2,CENTRAL NY,FULTON,ADULT,PSYCH INPATIENT 28,8097,200,1648,817030
2014,2,CENTRAL NY,FULTON,ADULT,PSYCH INPATIENT 31,8097,0,0,0
2014,2,CENTRAL NY,FULTON,CHILD,OMH LICENSED CLINIC TREATMENT,5717,792,9327,1028414
2014,2,CENTRAL NY,FULTON,CHILD,COMMUNITY RESIDENCE,5717,0,0,0
2014,2,CENTRAL NY,FULTON,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),5717,0,0,0
2014,2,CENTRAL NY,FULTON,CHILD,MH EMERGENCY,5717,143,198,49021
2014,2,CENTRAL NY,FULTON,CHILD,OMH CHILDREN'S DAY TREATMENT,5717,27,2235,167919
2014,2,CENTRAL NY,FULTON,CHILD,PSYCH INPATIENT 28,5717,28,246,138019
2014,2,CENTRAL NY,FULTON,CHILD,PSYCH INPATIENT 31,5717,34,605,509399
2014,2,CENTRAL NY,FULTON,CHILD,PSYCH INPATIENT SPC,5717,0,0,0
2014,2,CENTRAL NY,FULTON,CHILD,RESIDENTIAL TREATMENT FACILITY,5717,0,0,0
2014,2,CENTRAL NY,FULTON,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",5717,43,348,174348
2014,2,CENTRAL NY,FULTON,SENIOR,OMH LICENSED CLINIC TREATMENT,1682,51,444,23648
2014,2,CENTRAL NY,FULTON,SENIOR,COMMUNITY RESIDENCE,1682,0,0,0
2014,2,CENTRAL NY,FULTON,SENIOR,CONTINUING DAY TREATMENT,1682,0,0,0
2014,2,CENTRAL NY,FULTON,SENIOR,MH EMERGENCY,1682,0,0,0
2014,2,CENTRAL NY,FULTON,SENIOR,PERSONALIZED RECOVERY ORIENTED SERVICES,1682,0,0,0
2014,2,CENTRAL NY,FULTON,SENIOR,PSYCH INPATIENT 28,1682,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,OMH LICENSED CLINIC TREATMENT,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,MH EMERGENCY,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,PARTIAL HOSPITALIZATION,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,PSYCH INPATIENT 28,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,ADULT,PSYCH INPATIENT 31,376,0,0,0
2014,2,CENTRAL NY,HAMILTON,CHILD,OMH LICENSED CLINIC TREATMENT,268,0,0,0
2014,2,CENTRAL NY,HAMILTON,CHILD,COMMUNITY RESIDENCE,268,0,0,0
2014,2,CENTRAL NY,HAMILTON,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),268,0,0,0
2014,2,CENTRAL NY,HAMILTON,CHILD,MH EMERGENCY,268,0,0,0
2014,2,CENTRAL NY,HAMILTON,CHILD,PSYCH INPATIENT 31,268,0,0,0
2014,2,CENTRAL NY,HAMILTON,SENIOR,OMH LICENSED CLINIC TREATMENT,108,0,0,0
2014,2,CENTRAL NY,HAMILTON,SENIOR,MH EMERGENCY,108,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,ASSERTIVE COMMUNITY TREATMENT,8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,OMH LICENSED CLINIC TREATMENT,8457,830,6076,729888
2014,2,CENTRAL NY,HERKIMER,ADULT,COMMUNITY RESIDENCE,8457,39,331,821107
2014,2,CENTRAL NY,HERKIMER,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,CONTINUING DAY TREATMENT,8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,MH EMERGENCY,8457,263,433,71657
2014,2,CENTRAL NY,HERKIMER,ADULT,OMH PREPAID MENTAL HEALTH PLAN,8457,120,1152,1064474
2014,2,CENTRAL NY,HERKIMER,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,PSYCH INPATIENT 28,8457,149,1270,720988
2014,2,CENTRAL NY,HERKIMER,ADULT,PSYCH INPATIENT 31,8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",8457,0,0,0
2014,2,CENTRAL NY,HERKIMER,CHILD,OMH LICENSED CLINIC TREATMENT,6521,540,3256,408838
2014,2,CENTRAL NY,HERKIMER,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",6521,0,0,0
2014,2,CENTRAL NY,HERKIMER,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),6521,0,0,0
2014,2,CENTRAL NY,HERKIMER,CHILD,MH EMERGENCY,6521,94,126,34118
